content_id,content_title_h1,content_title_description,content_class_main,content_class_sub,content_date_time,content_tag
,減碳夢變戴奧辛危機！政府只顧把垃圾變能源，對世紀之毒不設防1千多天,從廢棄物變成的燃料棒SRF，相較燒煤炭，碳排量可驟降7成，當蘋果、Adidas等國際品牌不斷要求供應商減碳，投入SRF成非做不可的事！然而這帖減碳良藥，卻遭里民抗議，恐引發「世紀之毒」戴奧辛。商周啟動,焦點,封面故事,2023/12/08,"固體再生燃料,焚化爐,SRF,戴奧辛,商周封面故事"
,減碳夢變戴奧辛危機！政府只顧把垃圾變能源，對世紀之毒不設防1千多天,從廢棄物變成的燃料棒SRF，相較燒煤炭，碳排量可驟降7成，當蘋果、Adidas等國際品牌不斷要求供應商減碳，投入SRF成非做不可的事！然而這帖減碳良藥，卻遭里民抗議，恐引發「世紀之毒」戴奧辛。商周啟動,焦點,封面故事,2023/12/08,"固體再生燃料,焚化爐,SRF,戴奧辛,商周封面故事"
,金價再創歷史新高，還能買嗎？4股力量將繼續推升行情,金價在2023年12月創歷史新高，目前市場有4股助力，使金價具備繼續上漲的潛力。,財經,投資理財,2023/12/08,
,缺蛋、缺水、缺工、缺錢⋯台灣2023代表字：什麼都「缺」,台灣2023代表字以「缺」字拿到第一高票。總結疫前工商界憂心的「五缺」，疫情間，缺口罩、疫苗、快篩，以及疫後復甦的缺蛋、缺藥。第二名則是「蛋」，民眾以有感蛋荒、近期大巨蛋開幕等不同理由投票。其餘第3～,焦點,時事分析,2023/12/08,"台灣, 五缺, 雞蛋, 通膨"
,不只小孩、爺奶為何也瘋抓寶？寶可夢「遊戲+1」打破手遊短命魔咒長紅7年 - 商業周刊第1861期 - 商周線上讀,Pokemon Go上線7年，為何不僅打破手遊短命魔咒，至今仍吸引小學生到老人家在路邊抓寶？第一，它有跨世代IP，孩子到中高齡都對其劇情和角色有基礎理解。第二，用手機做為載體，操作門檻低，讓老人小孩兩大族群減少抗拒感。最關鍵的，是它掌握「遊戲+1」原則，也就是除了遊戲外，再附加一個功能，Switch健身環是加減重、Pokémon GO是加散步、運動，藉此虛實整合打破疆界。,封面故事, ,2023-07-13,"Pokemon,寶可夢,任天堂,switch,抓寶,PokemonGO"
,《原子習慣》連4年冠軍！博客來2023年度暢銷書，你看了幾本？,近日，「看書是一種次文化」在網路社群上掀起討論。你多久沒看書了？博客來在12月5日公布2023年閱讀暢銷榜，你看過幾本？博客來2023年「閱讀總榜」冠軍是《原子習慣》，這本書已經蟬聯4年榜首；心理書籍,焦點,時事分析,2023/12/06,"書,博客來,出版社"
,「有空出來吃飯」不是真的要約你！聽到這4句話就知道，話題該結束了,日常生活中常聽到的「禮貌退出」潛台詞：1.有空出來吃飯、有空再去＝沒事別約我。2.下次再約、下次一起啊＝下次不會讓你知道。3.晚點打給你＝我不想浪費時間跟你講電話。4.我先洗澡＝你好無聊，掰掰。,職場,職場修練,2021/02/22,"潛台詞,下次再約,有空一起吃飯,晚點打給你,禮貌退出"
,靠退休金過活，天天能省則省？你有更高品質的過法！,過去的人退休，基本開銷會因為生活變單純而降低。但現在時代不同了，老年人不會只是在家裡睡覺、看電視，也能到處玩、參加各種活動好好享樂。想過上精彩的退休生活，開銷比退休前更大是有可能的，因此如何讓自己有一,財經,投資理財,2023/02/24,"財富,理財,退休,健康"
,寶可夢中心來了！獨家專訪亞洲區舵手：我們花錢的方式，可能是大家難以想像的,商周獨家專訪寶可夢公司執行董事福永晉，他剖析寶可夢公司中心思想：讓所有人樂在其中。並不是先考量預算，只要夠有趣，一億兩億日圓也可以花。,管理,創新策略,2023/12/11,"台北寶可夢中心,皮卡丘,日本寶可夢,寶可夢卡牌,寶可夢玩家"
https://podcasts.apple.com/tw/podcast/%E5%95%86%E5%91%A8%E8%AE%80%E6%9B%B8%E6%9C%83-%E5%B7%B4%E8%8F%B2%E7%89%B9%E5%82%B3%E5%A5%87%E5%90%88%E5%A4%A5%E4%BA%BA%E6%9F%A5%E7%90%86-%E8%92%99%E6%A0%BC%E7%9A%84%E8%87%B4%E5%AF%8C%E5%BF%83%E6%B3%95%E5%8F%8A%E4%BA%BA%E7%94%9F%E6%99%BA%E6%85%A7/id1537748440?i=1000637877537,,,,,,
,加拿大鵝在中國退燒，年輕人瘋搶軍大衣和花棉襖：是潮還是省？,「羽絨衣越來越貴」、「中國產羽絨衣賣到人民幣7000元」等話題登上中國微博熱搜。最近，中國男大生裹著軍大衣、女大生穿著花棉襖上街的各類影片，在網路上廣為流傳。一名中國男大生表示，去年大家都在搶加拿大鵝,國際,趨勢中國,2023/12/08,"羽絨衣,拼多多,中國,穿搭,年輕人,電商"
,日圓匯率一日漲回0.22，還有便宜可以撿嗎？,12月7日下午的紐約外匯市場，日圓兌美元匯率迅速暴漲，一度觸及1美元兌141.5～141.9日圓。創下4個月來的日圓兌美元的最大漲幅。然而日圓匯率又馬上貶值，7日傍晚徘徊在144.0～144.9日圓區,財經,投資理財,2023/12/08,"台幣,美元,日圓,匯率,日本"
,老公創業失敗，全家僅剩3千元...她做這件事，15年賺到3間台北的房子,如果認真學習3年、努力工作12年，可以讓你在台北市買3間電梯大樓房子，你願不願意也這樣付出15年？你一定說，我願意！但是重點來了，要從事哪一行才有機會賺得到？廣告最新的答案是，知識經濟。工作上的委屈，,職場,職場修練,2018/03/02,"商業周刊,創業 失敗,創業失敗找工作,寶靈老師老公,洪雪珍老公,廟宇職缺,全家缺職"
,工作賺錢，其實是在「謀殺人生」！人生幸福關鍵：和錢好好相處,對於多數的工作者來說，得靠工作換錢才有辦法「過生活」，但為了工作賺錢，我們常常不自覺「謀殺」生活。大部分的人都搞不清楚，這一生中到底賺了多少錢。可以試著建立資產負債表，看看自己賺了多少、又值多少錢。了,財經,投資理財,2023/08/02,"生活,工作,理財,賺錢,商周讀書會,人生"
